,TEAM_ID,E_PACE,E_DEF_RATING
0,1610612764,106.4,110.5
1,1610612749,104.4,109.1
2,1610612744,104.4,107.7
3,1610612750,104.1,112.1
4,1610612754,104.0,109.6
5,1610612745,103.6,112.4
6,1610612760,103.1,111.9
7,1610612763,102.6,108.5
8,1610612740,102.3,111.6
9,1610612758,102.2,114.6
10,1610612751,101.8,110.6
11,1610612755,101.8,105.1
12,1610612761,101.6,109.8
13,1610612741,101.1,109.9
14,1610612759,101.0,110.7
15,1610612757,100.8,113.4
16,1610612753,100.8,112.1
17,1610612762,100.8,105.7
18,1610612747,100.8,104.8
19,1610612738,100.7,110.0
20,1610612766,100.6,110.6
21,1610612765,100.1,110.3
22,1610612737,99.9,110.6
23,1610612739,99.6,112.1
24,1610612742,99.5,110.4
25,1610612756,99.3,108.8
26,1610612743,99.3,110.0
27,1610612746,99.1,108.7
28,1610612748,98.7,108.5
29,1610612752,98.2,105.7
