,TEAM_ID,E_PACE,E_DEF_RATING
0,1610612750,103.5,109.1
1,1610612745,103.3,114.4
2,1610612763,103.1,106.2
3,1610612759,102.4,110.0
4,1610612766,102.3,111.0
5,1610612747,102.3,110.9
6,1610612749,102.2,109.4
7,1610612758,102.1,112.9
8,1610612756,102.0,104.7
9,1610612751,101.6,109.6
10,1610612753,101.5,110.3
11,1610612765,100.9,111.1
12,1610612760,100.8,110.2
13,1610612744,100.7,103.9
14,1610612757,100.6,114.0
15,1610612754,100.5,113.9
16,1610612741,100.4,111.1
17,1610612746,100.2,107.5
18,1610612737,100.0,112.1
19,1610612743,99.9,110.3
20,1610612740,99.7,110.5
21,1610612762,99.5,107.7
22,1610612764,99.3,111.7
23,1610612738,99.0,104.0
24,1610612761,98.6,107.9
25,1610612752,98.4,107.6
26,1610612739,98.4,107.0
27,1610612755,98.4,108.3
28,1610612748,98.2,106.3
29,1610612742,97.5,106.8
